	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
ALKBH8_-_107436678.23-P1P2	2549	2546	9881	1414	5449	932	15328	324	5541	397
ALYREF_+_79849796.23-P1P2	3729	3840	3414	892	2716	698	1634	561	356	578
ALYREF_-_79849580.23-P1P2	4140	4333	3605	4259	3754	276	2430	1465	2835	72
ALYREF_-_79849626.23-P1P2	3612	4213	3621	2116	1716	835	1816	1238	2425	399
ALYREF_-_79849638.23-P1P2	4091	5675	13337	808	3114	2508	21165	882	3005	312
ALYREF_-_79849645.23-P1P2	3229	3685	2428	1972	1952	1393	1806	963	869	275
ANKAR_+_190539112.23-P1P2	9685	9409	4800	2351	10991	325	4354	1453	7688	352
ANKAR_+_190539178.23-P1P2	5125	5483	8451	5752	9659	543	7761	7577	10410	186
ANKAR_+_190539298.23-P1P2	3547	4075	10084	820	7487	425	10966	444	6224	177
ANKAR_-_190539170.23-P1P2	3731	4067	5475	3133	248	1801	6831	2682	163	952
ANKAR_-_190539251.23-P1P2	5793	6578	4219	4418	2904	7653	4575	4694	1031	5605
ANKEF1_+_10015463.23-P1P2	3556	3404	4331	4175	8205	1889	2178	1693	9919	1813
ANKEF1_+_10015476.23-P1P2	3468	3682	2459	3133	4016	6790	1513	1630	2165	9651
ANKEF1_+_10015613.23-P1P2	5416	6231	5661	9041	10722	11686	3669	8025	7700	17518
ANKEF1_+_10015617.23-P1P2	3159	4085	2981	6575	3528	8236	4281	12532	2195	6687
ANKEF1_-_10015524.23-P1P2	2765	2746	6776	3420	1865	2533	6708	2755	1316	1698
ANKHD1-EIF4EBP3_+_139781256.23-P1P2	12901	13426	8707	4363	6294	45500	7061	3699	2123	64566
ANKHD1-EIF4EBP3_-_139781207.23-P1P2	8029	8550	10281	19520	2596	3087	7281	20601	1985	2376
ANKHD1-EIF4EBP3_-_139781274.23-P1P2	6303	6943	6574	14147	5667	9731	6409	14451	6679	8001
ANKHD1-EIF4EBP3_-_139781335.23-P1P2	6324	7213	5194	15888	6257	11831	4918	14584	2572	9592
ANKHD1-EIF4EBP3_-_139781394.23-P1P2	10826	12505	20613	21860	8141	10840	19531	24568	9442	7428
ANKHD1_+_139781256.23-P1P2	12901	13426	8707	4363	6294	45500	7061	3699	2123	64566
ANKHD1_-_139781207.23-P1P2	8029	8550	10281	19520	2596	3087	7281	20601	1985	2376
ANKHD1_-_139781274.23-P1P2	6303	6943	6574	14147	5667	9731	6409	14451	6679	8001
ANKHD1_-_139781335.23-P1P2	6324	7213	5194	15888	6257	11831	4918	14584	2572	9592
ANKHD1_-_139781394.23-P1P2	10826	12505	20613	21860	8141	10840	19531	24568	9442	7428
ANKRA2_+_72861463.23-P1P2	3619	3480	4341	3554	3112	5152	6714	2456	1656	2802
ANKRA2_+_72861487.23-P1P2	3603	3927	2609	6089	7906	10840	1018	4197	4335	6128
ANKRA2_+_72861490.23-P1P2	3737	3703	4236	3741	2631	494	1935	868	1787	221
ANKRA2_-_72861610.23-P1P2	6335	7013	8393	5292	3615	5452	6819	7905	2541	2517
ANKRA2_-_72861621.23-P1P2	4120	5165	5183	2839	7483	12733	3659	471	10208	6461
ANKRD10_+_111567513.23-P1P2	2843	3419	749	2854	463	975	122	1899	172	742
ANKRD10_+_111567660.23-P1P2	6555	7170	7440	14522	6040	1482	6576	11265	5417	1019
ANKRD10_-_111567561.23-P1P2	3306	3382	5989	773	1615	159	6780	512	1319	106
ANKRD10_-_111567689.23-P1P2	5369	5309	8686	4071	1328	130	5439	3031	591	47
ANKRD10_-_111567711.23-P1P2	8985	8990	7594	15025	5376	17813	4600	13660	3791	14448
ANKRD11_+_89557072.23-P1P2	6531	7776	6996	16280	7635	103044	3652	17300	3441	138926
ANKRD11_+_89557185.23-P1P2	3437	3099	4475	4760	3076	8484	3017	4124	2167	6768
ANKRD11_-_89557134.23-P1P2	3764	3344	844	1495	116	8885	408	2880	23	3929
ANKRD11_-_89557188.23-P1P2	3902	4139	8229	6404	2104	1231	7704	5353	1147	568
ANKRD11_-_89557198.23-P1P2	6076	8412	3327	19213	4540	10221	2427	21702	3621	6393
ANKRD16_+_5931914.23-P1P2	5827	6654	3378	5610	4422	7689	2299	5844	2580	2347
ANKRD16_+_5931976.23-P1P2	5699	6449	3734	2640	3163	12770	2910	730	1558	7767
ANKRD16_+_5932098.23-P1P2	5363	4288	6926	3827	4737	3864	4301	3122	3928	2029
ANKRD16_-_5932003.23-P1P2	3489	3654	6863	2500	730	1382	7659	791	753	2056
