	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
AGO4_-_36274041.23-P1P2	3469	3919	477	481	310	594	177	451	213	369
AGRN_+_955469.23-P1P2	2968	3847	2906	2710	2443	1432	4673	1181	1199	502
AGRN_+_955472.23-P1P2	4568	7132	11371	5964	2941	13267	14599	6118	1335	13939
AGRN_+_955534.23-P1P2	4519	5969	5550	8083	2452	12753	2638	4268	501	4199
AGRN_+_955594.23-P1P2	1756	1900	2730	10539	2010	9670	3380	29846	2823	35936
AGRN_-_955702.23-P1P2	4759	6571	4609	5746	5689	2034	3548	3464	13443	803
AHCTF1_+_247095155.23-P1P2	1988	2348	1511	1999	31	900	568	653	75	246
AHCTF1_+_247095176.23-P1P2	3902	5177	2441	1962	584	2687	1515	653	86	1130
AHCTF1_+_247095191.23-P1P2	2996	3478	841	177	379	175	642	90	129	18
AHCTF1_-_247095134.23-P1P2	2625	3281	842	561	502	302	886	236	40	20
AHCTF1_-_247095204.23-P1P2	4960	6980	4144	8627	5769	7998	5156	3082	6559	2672
AHDC1_+_27930586.23-P1P2	3198	4641	7505	2138	17164	5337	7845	826	55597	11256
AHDC1_+_27930650.23-P1P2	3940	4768	3381	5008	6475	11107	2308	7682	19893	6775
AHDC1_+_27930664.23-P1P2	3954	4585	4303	11400	3219	6042	4927	10909	1307	7680
AHDC1_+_27930682.23-P1P2	3265	3989	6538	4456	8460	11267	5537	4918	6677	21791
AHDC1_-_27930702.23-P1P2	5510	6459	5498	1130	6705	7400	5142	130	2398	1799
AHRR_+_321892.23-P1P2	1992	2157	4923	3757	1446	3869	3132	3577	996	1997
AHRR_+_322050.23-P1P2	5849	8930	6548	16865	4450	37190	4753	31008	6239	70469
AHRR_+_322709.23-P1P2	5116	7458	750	2478	1409	2530	172	2928	626	1945
AHRR_-_321899.23-P1P2	5956	7335	11246	2438	46525	3166	11905	1085	97026	892
AHRR_-_322105.23-P1P2	4220	5918	4950	2222	2448	4426	4212	1119	1370	1878
AHR_+_17338289.23-P1P2	2600	3981	1329	4695	5282	2078	208	5164	3280	744
AHR_+_17338306.23-P1P2	2814	3699	4343	922	1648	1125	4352	225	801	219
AHR_+_17338317.23-P1P2	5624	6764	4977	2999	7676	10217	2077	2690	3905	15399
AHR_-_17338343.23-P1P2	1198	1626	606	815	3436	2128	1136	154	2540	644
AHR_-_17338362.23-P1P2	5988	7764	10506	10871	3703	22036	10605	8622	3427	8363
AIMP1_+_107237731.23-P1P2	6138	7449	7051	4464	15907	3263	7973	5622	22006	1255
AIMP1_+_107237739.23-P1P2	7072	8738	6896	3479	4443	8670	2802	4297	2248	5068
AIMP1_+_107237742.23-P1P2	4569	4703	5479	4234	1917	3573	4316	3017	459	1536
AIMP1_-_107237769.23-P1P2	6040	7598	3893	3214	2467	8024	4796	1629	1195	4227
AIMP1_-_107237784.23-P1P2	3201	4131	1677	2515	1127	5773	1370	1541	961	5221
AKNA_+_117150188.23-P1	2991	3958	680	1688	761	3492	211	581	359	3637
AKNA_+_117150220.23-P1	3569	4259	3365	2128	3959	5111	2917	863	2335	3627
AKNA_+_117150244.23-P1	3626	4286	4102	1173	2006	12657	2713	446	2012	6845
AKNA_+_117150247.23-P1	5738	7753	9099	6409	4794	6643	10330	6088	2669	26009
AKNA_+_117150267.23-P1	6100	9482	5886	13158	5889	18236	5127	14039	5221	18239
AKNA_+_117160706.23-P2	3592	4746	2555	2983	3840	4840	1813	1541	5129	1424
AKNA_+_117160729.23-P2	3214	5113	3763	7499	4070	4096	2905	5516	1185	1411
AKNA_+_117160732.23-P2	3095	3524	3744	3117	2725	3267	7727	5234	1686	7891
