	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
ZBTB14_+_5295659.23-P1P2	6671	8042	7388	6346	3468	3110	6073	2729	2049	1511
ZBTB14_+_5295839.23-P1P2	3225	3350	1107	3	139	57	277	3	13	13
ZBTB14_+_5295980.23-P1P2	4732	5262	1819	1586	1090	1486	303	541	137	561
ZBTB14_+_5296047.23-P1P2	2976	3941	3573	854	1144	1963	2970	258	595	417
ZBTB14_-_5295987.23-P1P2	6565	8280	3573	5368	2372	2509	3592	2907	1049	707
ZBTB18_+_244214638.23-P1P2	3722	5191	7659	2881	2720	2326	3681	1119	1668	699
ZBTB18_+_244214677.23-P1P2	3330	5155	5511	5918	2522	11392	3316	10240	1242	8016
ZBTB18_-_244214594.23-P1P2	4543	6168	5386	7704	2691	9950	3560	7151	6033	3948
ZBTB18_-_244214602.23-P1P2	7550	9189	6993	10210	7491	9343	5927	11790	8197	4728
ZBTB18_-_244214605.23-P1P2	6821	8308	5974	2687	4623	8907	4399	1374	2063	5599
ZBTB1_+_64970741.23-P1P2	3906	6270	1006	3176	3124	6655	572	1797	2721	5438
ZBTB1_+_64971482.23-P1P2	4148	5083	4421	19964	3404	17102	3334	29386	1443	9715
ZBTB1_+_64971511.23-P1P2	4549	6319	4928	3661	4145	2101	2648	2051	1100	918
ZBTB1_-_64971477.23-P1P2	4035	5075	2536	4794	2119	7134	1398	3259	726	689
ZBTB1_-_64971900.23-P1P2	4539	5426	3253	4454	5679	4320	2178	2478	1886	870
ZBTB20_+_114343507.23-P1	7150	8246	9514	5194	13530	5183	6369	2320	10870	1433
ZBTB20_+_114343748.23-P1	4603	5507	5048	4052	5690	3364	3080	1766	6763	2285
ZBTB20_+_114343757.23-P1	6868	10172	11656	6784	3444	22576	11922	3281	2140	15534
ZBTB20_+_114343820.23-P1	5842	7564	9320	4158	4064	4832	8425	2884	1996	1172
ZBTB20_+_114866064.23-P2	3752	5015	11675	9668	1198	11633	19052	9986	727	14117
ZBTB20_+_114866090.23-P2	4761	6201	4978	3065	5903	3664	4100	954	3495	1018
ZBTB20_+_114866111.23-P2	5428	7218	13211	14008	4024	5708	10970	12477	3107	3881
ZBTB20_+_114866114.23-P2	5050	6912	3546	6506	5882	5311	2984	9594	3433	1418
ZBTB20_-_114343739.23-P1	3160	4709	3054	4154	1889	5580	1500	3747	303	1055
ZBTB20_-_114865817.23-P2	5294	7010	9026	4864	4417	9643	8583	5375	3082	5204
ZBTB21_+_43430359.23-P1P2	5585	8214	6803	16267	5784	12070	7786	27997	4399	24447
ZBTB21_+_43430396.23-P1P2	3280	4140	2221	3186	1894	1834	1220	3272	336	821
ZBTB21_+_43430429.23-P1P2	1557	2236	4030	993	1009	468	2815	743	542	258
ZBTB21_-_43430041.23-P1P2	6529	6794	14447	3809	7006	5205	11894	2738	2650	995
ZBTB21_-_43430482.23-P1P2	5344	6953	6657	10547	2155	11151	6715	8673	692	3965
ZBTB24_+_109804377.23-P1P2	4240	4747	3165	2432	2442	7197	3301	1169	2672	1276
ZBTB24_+_109804424.23-P1P2	3576	4289	1758	1185	2579	1516	1360	462	2510	736
ZBTB24_-_109804119.23-P1P2	4468	5337	6670	2843	4270	1785	5008	769	2284	609
ZBTB24_-_109804368.23-P1P2	5511	6852	2141	10813	2633	8385	1564	10329	772	16432
ZBTB24_-_109804440.23-P1P2	1310	1867	173	589	484	6862	69	1007	138	24463
ZBTB25_+_64970385.23-P1P2	6085	7681	6159	8980	3743	4979	6818	7393	2116	1269
ZBTB25_+_64970478.23-P1P2	2939	3615	595	179	717	292	244	13	367	23
ZBTB25_+_64970509.23-P1P2	3524	4298	5357	2666	1332	1341	3026	4116	1389	2118
ZBTB25_-_64970422.23-P1P2	2459	2866	1528	3586	2151	2110	1026	2009	1128	710
ZBTB25_-_64970455.23-P1P2	6375	8416	6016	9415	7339	10739	4505	14635	4775	12183
ZBTB26_+_125693496.23-P1P2	7551	8471	5817	7322	7834	6415	3791	7142	6814	2499
ZBTB26_+_125693733.23-P1P2	4983	7067	6093	8210	2265	9824	5993	5403	3019	11598
ZBTB26_-_125693725.23-P1P2	5369	7525	11067	7365	6222	7598	8335	6033	4575	9219
ZBTB26_-_125693746.23-P1P2	6461	8180	6891	38932	3706	27114	5991	120220	1169	15170
ZBTB26_-_125693774.23-P1P2	5233	6783	3410	3207	9357	9305	4808	2854	31637	4402
ZBTB2_+_151712672.23-P1P2	4581	5512	5772	3834	4175	2109	3822	4753	3126	878
ZBTB2_-_151712602.23-P1P2	8005	9642	10650	13448	21801	9935	7979	14366	29979	7026
ZBTB2_-_151712690.23-P1P2	2037	2686	2586	1611	507	3825	1469	2406	528	2886
ZBTB2_-_151712698.23-P1P2	5271	6676	4344	5193	4923	3606	3414	6817	2947	681
ZBTB2_-_151712826.23-P1P2	5556	6605	21891	3900	3431	4368	20935	5197	3536	1068
ZBTB33_+_119384640.23-P1P2	6831	8641	9279	11135	8812	21134	6095	12696	11681	22048
ZBTB33_+_119384884.23-P1P2	3000	3544	735	321	1460	609	155	190	702	211
ZBTB33_+_119385061.23-P1P2	40	40	138	17	0	0	0	56	0	0
ZBTB33_-_119384653.23-P1P2	4902	5359	7303	6630	9644	3325	9916	4096	12856	1268
ZBTB33_-_119384719.23-P1P2	3400	4209	15068	6170	1046	1185	24726	4449	438	152
ZBTB34_+_129622705.23-P1P2	2438	3643	10785	3560	8435	2572	12614	2723	20693	479
ZBTB34_+_129622981.23-P1P2	5382	7961	4877	2720	9101	2269	3158	3474	20035	1912
ZBTB34_-_129622790.23-P1P2	1668	1975	3517	196	2684	416	1888	184	2745	123
ZBTB34_-_129623018.23-P1P2	5074	6242	807	465	504	209	229	185	36	35
ZBTB34_-_129623126.23-P1P2	2576	3702	3003	2666	349	2965	2193	2785	140	2978
ZBTB37_+_173837524.23-P1P2	4768	5805	3522	6031	5859	4117	1638	4336	16708	3873
ZBTB37_+_173837534.23-P1P2	6090	7136	16436	2982	6556	3091	25586	3549	9599	941
ZBTB37_+_173837537.23-P1P2	5335	6157	3877	5234	9832	2190	2406	5837	16652	548
ZBTB37_+_173837555.23-P1P2	3383	5433	2364	7172	1526	2605	1556	5831	468	1054
ZBTB37_-_173837543.23-P1P2	4374	5544	850	3414	3479	3400	762	6059	3087	2148
ZBTB38_+_141087420.23-P2	4373	6271	2953	2305	1749	3292	1398	525	1376	773
ZBTB38_+_141087670.23-P2	5839	6803	5376	6662	4053	14123	3415	7285	8162	14211
ZBTB38_+_141087742.23-P2	1427	1726	1603	331	1632	953	443	260	494	350
ZBTB38_+_141121251.23-P1	3055	3408	3782	1554	7634	3036	4294	809	11597	1692
ZBTB38_+_141121287.23-P1	4758	6675	3632	5567	3425	8269	1823	4369	7085	3735
ZBTB38_-_141087350.23-P2	3556	4688	1264	6815	800	6882	846	10009	190	2968
ZBTB38_-_141087753.23-P2	6461	7914	5649	14630	3223	13366	7129	6787	3307	2736
ZBTB38_-_141121233.23-P1	4391	4463	2739	3592	2856	1437	1094	344	1834	168
ZBTB38_-_141121249.23-P1	4545	6764	2265	3935	2067	3039	2909	2743	1206	2345
ZBTB38_-_141121440.23-P1	3536	4903	3781	3377	3228	3066	2851	962	3167	1145
ZBTB39_+_57400259.23-P1P2	4522	6047	3613	6666	4238	5626	1834	4635	3674	2105
ZBTB39_+_57400277.23-P1P2	5858	7920	5046	3916	2115	4746	4460	2056	1054	1215
ZBTB39_+_57400284.23-P1P2	3363	5469	1647	4292	771	1489	1227	5355	527	349
ZBTB39_-_57400238.23-P1P2	4395	5975	5086	7286	8619	2854	5046	11173	11475	1103
ZBTB39_-_57400271.23-P1P2	4448	5273	10151	4944	1359	3061	8472	4265	400	831
ZBTB41_+_197170080.23-P1P2	3740	5798	3206	3996	7013	4506	1854	3744	13179	2370
ZBTB41_+_197170099.23-P1P2	4678	5486	5271	3201	4658	4047	3186	1231	3860	1474
ZBTB41_+_197170114.23-P1P2	6729	8645	3481	3857	15869	6893	2108	4915	26935	4493
ZBTB41_-_197169898.23-P1P2	2873	4071	3024	1502	1650	1820	1616	741	870	537
ZBTB41_-_197170070.23-P1P2	6147	7262	9437	3220	5875	5280	13792	2462	8362	1648
ZBTB43_-_129567339.23-P1P2	8789	14135	7478	20017	5472	12852	9021	32016	4125	7768
ZBTB43_-_129567349.23-P1P2	5784	6999	10554	4931	3902	3802	5030	1165	1907	1264
ZBTB43_-_129567359.23-P1P2	2912	3560	1884	3999	824	2597	708	4352	789	968
ZBTB43_-_129567362.23-P1P2	2882	3823	2508	2023	3208	2544	1776	719	2489	1165
ZBTB43_-_129567383.23-P1P2	5579	7988	7154	6361	12260	11709	7135	4746	6109	7048
ZBTB44_+_130184309.23-P1P2	3660	3713	944	51	21	72	1622	6	23	35
ZBTB44_+_130184398.23-P1P2	3854	3776	1390	2909	1798	6383	1272	2247	1116	10699
ZBTB44_+_130184433.23-P1P2	3740	4183	4340	2142	2009	1096	3058	818	743	407
ZBTB44_+_130184751.23-P1P2	4239	5803	5448	4214	5071	9801	3369	2958	3977	5097
ZBTB44_+_130184754.23-P1P2	6129	7381	9242	8373	15056	8073	9481	7199	12729	8031
ZBTB45_+_59031093.23-P1P2	5047	6486	11922	5145	2762	4823	11584	3072	1070	7895
ZBTB45_+_59031102.23-P1P2	6094	7942	7463	4003	10652	12851	6325	4068	14811	19696
ZBTB45_+_59031107.23-P1P2	6239	7984	4238	15412	2211	18812	1977	19650	1048	16066
ZBTB45_+_59031128.23-P1P2	2372	3576	1983	1027	1632	1955	1522	280	2065	596
ZBTB45_+_59031144.23-P1P2	7530	9071	13847	4558	12276	11852	14356	3283	14534	7603
ZBTB46_+_62462503.23-P1P2	2449	2198	248	14	112	363	13	12	27	1434
ZBTB46_+_62462565.23-P1P2	6000	7057	5738	1720	4534	4912	7108	270	5138	1869
ZBTB46_+_62462592.23-P1P2	5565	7789	7130	4211	1812	2535	3868	2654	1105	959
ZBTB46_-_62462546.23-P1P2	3602	5096	4734	9559	7242	31239	5152	12298	10498	81835
ZBTB46_-_62462570.23-P1P2	6924	8775	8876	6493	7482	2142	10445	4223	12229	1538
ZBTB47_+_42695186.23-P1P2	6591	8494	10969	16048	4993	4890	9940	18912	3441	4770
ZBTB47_+_42695341.23-P1P2	4979	5128	4381	3618	13465	7003	3254	2658	32805	2741
ZBTB47_-_42695199.23-P1P2	5134	6230	2692	3977	1257	3124	1575	2626	577	1385
ZBTB47_-_42695212.23-P1P2	7131	9869	13987	6392	2317	8260	12031	4285	1660	5917
ZBTB47_-_42695221.23-P1P2	7786	10019	6678	9680	2541	12370	7197	11101	1229	5117
ZBTB48_+_6640093.23-P1P2	6386	8205	9753	5723	10544	6375	9145	3942	10025	5287
ZBTB48_-_6640087.23-P1P2	6250	9061	15328	7370	4201	19725	21145	9596	2129	62911
ZBTB48_-_6640109.23-P1P2	6814	7780	3827	7355	4647	6406	2875	5542	948	2579
ZBTB48_-_6640123.23-P1P2	3345	4577	2042	5240	2243	9696	1276	1804	1234	8698
ZBTB48_-_6640138.23-P1P2	4700	6757	5098	5779	2981	6564	6136	4219	1243	10877
ZBTB49_-_4291997.23-P1P2	6115	6974	3889	10766	1203	10147	2403	10791	325	16819
ZBTB49_-_4292027.23-P1P2	8037	9141	10125	6115	15272	4170	10842	5225	15825	3560
ZBTB49_-_4292051.23-P1P2	9508	12222	18729	5854	9549	12812	25945	4542	5944	5239
ZBTB49_-_4292054.23-P1P2	5335	7245	7876	6390	4163	1806	11252	9479	2615	807
ZBTB49_-_4292284.23-P1P2	6707	10195	11195	5309	2764	17132	10883	4611	3438	10922
ZBTB4_+_7382752.23-P2	4389	5289	2236	2595	1392	4008	852	1198	655	815
ZBTB4_+_7382936.23-P2	5414	6107	5996	8723	1390	10928	4096	14877	883	7856
ZBTB4_+_7387533.23-P1	3802	4236	1321	3612	809	890	798	1981	348	754
ZBTB4_+_7387557.23-P1	5798	6485	7802	2164	2081	1374	5386	1184	574	990
ZBTB4_+_7387577.23-P1	6514	8159	10030	8694	3705	5749	7835	7169	1177	4506
ZBTB4_-_7382567.23-P2	6012	7584	8387	4582	4530	8078	6558	2901	2359	4507
ZBTB4_-_7382670.23-P2	2599	3342	12688	1791	58981	2424	22757	1118	224012	516
ZBTB4_-_7382951.23-P2	8221	10364	7746	8439	34199	9268	9452	8687	91476	14019
ZBTB4_-_7387488.23-P1	4594	6296	1142	3109	857	2743	554	2394	668	1039
ZBTB4_-_7387552.23-P1	1694	1516	183	570	42	1169	22	207	1	430
ZBTB6_+_125675571.23-P1P2	6378	9008	9187	3810	4378	5884	11477	1358	4436	4491
ZBTB6_+_125675577.23-P1P2	3751	5604	3764	4258	925	6335	2760	3805	354	3172
ZBTB6_-_125675397.23-P1P2	2732	3217	1890	3399	3443	1109	1527	914	2037	92
ZBTB6_-_125675561.23-P1P2	5131	7333	2453	6907	2209	9146	2355	5555	1221	24105
ZBTB6_-_125675580.23-P1P2	1392	2116	2096	2445	357	10541	2248	4980	264	47311
ZBTB7A_+_4066577.23-P1	1598	1833	428	1194	958	1973	103	2332	504	974
ZBTB7A_+_4066645.23-P1	3061	4446	2100	4635	1967	39117	1311	10110	1716	43413
ZBTB7A_+_4066789.23-P1	4432	5144	5066	6230	10681	3271	6118	3411	23730	1088
ZBTB7A_+_4066828.23-P1	5776	5805	4202	12673	2685	3856	4096	7295	1484	2818
ZBTB7A_+_4066859.23-P1	6710	7882	17115	6787	6533	5240	11615	4058	3732	1171
ZBTB7A_-_4065155.23-P2	3022	3978	5748	5032	7489	5774	7754	2703	23431	6217
ZBTB7A_-_4065274.23-P2	5941	8159	3274	9557	957	8791	2388	8671	929	7910
ZBTB7A_-_4065310.23-P2	5055	6130	8059	5346	3823	2609	6292	5806	4366	2734
ZBTB7A_-_4065511.23-P2	3687	4757	6880	9739	4302	7182	6733	16636	6508	4181
ZBTB7A_-_4065519.23-P2	3157	4263	1162	1014	506	1159	251	289	109	1021
ZBTB7B_+_154975368.23-P1P2	4482	6532	2806	2230	2835	2758	3140	2011	2037	1291
ZBTB7B_-_154975288.23-P1P2	1629	2535	659	2189	472	244	346	709	108	30
ZBTB7B_-_154975305.23-P1P2	6430	6895	6641	3557	6573	6433	5157	2252	6318	7508
ZBTB7B_-_154975323.23-P1P2	5907	7112	4388	5565	2417	3381	3078	2669	1122	548
ZBTB7B_-_154975345.23-P1P2	4191	5362	3340	4750	1507	2038	2309	3734	627	696
ZBTB7C_+_45662990.23-P2	4325	5909	2571	2867	6796	3841	1561	4242	4618	1746
ZBTB7C_+_45663480.23-P2	5012	6325	3608	2753	3634	4034	1435	2214	1845	3083
ZBTB7C_+_45935666.23-P1	6104	7685	19215	4676	4900	9931	17718	2524	5133	5091
ZBTB7C_+_45935669.23-P1	4551	5197	5149	2579	5072	3390	4039	977	4985	1280
ZBTB7C_+_45935676.23-P1	1811	2640	153	138	11	373	60	13	3	98
ZBTB7C_+_45935693.23-P1	1882	2173	690	208	64	238	768	209	20	32
ZBTB7C_+_45935713.23-P1	4291	5870	6955	2736	4443	6286	6288	1319	6355	6459
ZBTB7C_-_45663282.23-P2	2595	2756	1739	1191	2737	5662	1057	1083	3803	9794
ZBTB7C_-_45663434.23-P2	5999	7218	5183	3269	6743	9663	2834	2534	7402	4216
ZBTB7C_-_45663457.23-P2	3901	4718	1751	3472	1232	3366	698	1815	775	1151
ZC3H10_-_56512039.23-P1P2	6178	6383	1358	1848	1522	3015	337	683	562	1072
ZC3H10_-_56512067.23-P1P2	3983	4502	7906	1530	11368	1011	4907	72	5920	433
ZC3H10_-_56512074.23-P1P2	1446	2024	821	1065	274	92	266	538	36	14
ZC3H10_-_56512092.23-P1P2	3705	3796	1767	1151	3393	904	484	1009	784	557
ZC3H10_-_56512124.23-P1P2	4500	6304	391	2969	153	656	153	1395	34	80
ZC3H11A_+_203764662.23-P1P2	7787	8817	10046	5157	15706	18528	12261	4008	9540	28551
ZC3H11A_+_203765011.23-P1P2	3780	4915	2611	3950	3827	3949	1780	3949	3304	4132
ZC3H11A_+_203765087.23-P1P2	2106	2808	656	1053	646	1553	296	670	269	369
ZC3H11A_+_203765219.23-P1P2	2424	3275	2431	3419	851	2131	1451	2135	296	1949
ZC3H11A_-_203764756.23-P1P2	5056	5884	8898	7061	13526	27087	6972	6074	9260	13520
ZC3H13_+_46626595.23-P1P2	883	1024	469	819	66	477	96	274	1	102
ZC3H13_+_46626677.23-P1P2	2782	3192	575	46	462	99	389	4	114	10
ZC3H13_+_46626836.23-P1P2	4838	5143	465	702	1212	1136	205	360	616	85
ZC3H13_+_46626889.23-P1P2	2266	2812	10	28	7	27	0	1	11	3
ZC3H13_-_46626846.23-P1P2	4775	5515	611	1496	58	227	134	982	15	69
ZC3H14_+_89029414.23-P1P2	3898	5331	2170	2578	4536	6153	1613	615	7899	1423
ZC3H14_+_89029423.23-P1P2	3657	4729	1882	1308	2186	1580	920	192	1252	3565
ZC3H14_+_89029426.23-P1P2	3893	4114	4175	2537	3680	4979	3223	681	2701	269
ZC3H14_+_89029442.23-P1P2	3783	4689	5942	1959	4638	3919	2701	678	6387	750
ZC3H14_-_89029429.23-P1P2	4881	6504	5400	2746	1903	3928	2920	1276	776	882
ZC3H18_+_88636829.23-P1P2	3273	4029	2655	5260	2006	4373	1411	7412	761	3209
ZC3H18_+_88636848.23-P1P2	4855	6500	3880	5408	8137	6466	2708	5490	10772	9196
ZC3H18_+_88636857.23-P1P2	899	1322	26	1061	66	133	5	278	2	77
ZC3H18_+_88636860.23-P1P2	1335	1507	39	99	27	315	6	40	8	10
ZC3H18_-_88636902.23-P1P2	5230	5835	2272	2639	2888	1663	1342	1276	1414	316
ZC3H3_+_144623564.23-P1P2	4872	4820	5316	3802	816	10886	2318	4948	412	17305
ZC3H3_+_144623584.23-P1P2	2788	3105	1579	1064	338	518	1295	165	24	201
ZC3H3_+_144623587.23-P1P2	3203	3279	1821	1052	543	237	1332	637	115	41
ZC3H3_+_144623618.23-P1P2	6099	7797	9679	4201	3958	3465	7975	1632	2162	1525
ZC3H3_-_144623558.23-P1P2	3980	4278	4035	265	997	1130	3438	63	182	308
ZC3H4_+_47615316.23-P1	4938	5968	4911	887	782	774	2995	95	73	138
ZC3H4_+_47615464.23-P1	6627	7730	6127	18110	4793	9374	7256	12573	3762	4270
ZC3H4_+_47616996.23-P2	2643	3311	2478	1814	6089	3291	2132	1258	7915	5196
ZC3H4_+_47617039.23-P2	7623	8960	4092	8521	3394	6672	1440	8389	2976	2539
ZC3H4_-_47615449.23-P1	4837	6022	4523	1331	2488	2092	2178	245	716	234
ZC3H4_-_47615472.23-P1	5562	6459	6445	8286	1677	3294	3300	7615	790	2019
ZC3H4_-_47615475.23-P1	1703	2534	375	911	240	536	84	314	68	197
ZC3H4_-_47616955.23-P2	7159	8686	14243	4658	4353	16954	17171	6983	3404	8540
ZC3H4_-_47617006.23-P2	6810	8379	5612	5412	2110	11490	5351	5473	766	16934
ZC3H4_-_47617016.23-P2	5502	5724	6427	7002	6443	11548	3517	10796	2591	10331
ZC3H6_+_113033187.23-P1P2	2882	3550	931	4523	1605	5878	444	5990	710	6135
ZC3H6_+_113033190.23-P1P2	6114	7062	7686	9388	2065	6322	9178	21837	1111	9735
ZC3H6_+_113033203.23-P1P2	2727	3338	819	1220	717	2674	202	934	431	998
ZC3H6_+_113033237.23-P1P2	4728	7075	12920	3412	40581	18186	16464	3971	150099	6680
ZC3H6_-_113033236.23-P1P2	3629	4953	4187	5651	6748	7629	7840	3914	3121	8523
ZC3H8_+_113012574.23-P1P2	3884	4802	2119	604	452	616	1175	283	285	82
ZC3H8_+_113012608.23-P1P2	2502	2136	125	12	12	4	10	10	8	4
ZC3H8_-_113012435.23-P1P2	2474	2866	239	78	36	104	34	8	8	15
ZC3H8_-_113012628.23-P1P2	1485	1547	1	57	4	3	2	0	13	3
ZC3H8_-_113012642.23-P1P2	1575	1982	0	0	1	5	1	0	0	3
ZC3HAV1_+_138794216.23-P1P2	3048	4539	4852	2991	1945	1917	4089	1931	2106	764
ZC3HAV1_+_138794234.23-P1P2	5833	7489	8306	2258	4290	5699	6622	1833	3873	4644
ZC3HAV1_-_138794133.23-P1P2	4424	5274	13215	7111	3920	2882	12856	9868	3344	1632
ZC3HAV1_-_138794408.23-P1P2	5351	6375	4019	2876	8450	2421	2860	1059	10004	1035
ZC3HAV1_-_138794413.23-P1P2	5281	7754	6616	5473	2511	10335	4816	4345	1160	7779
ZCCHC11_+_53018698.23-P1P2	6671	8039	5881	1604	3692	6574	3379	315	3132	3772
ZCCHC11_+_53018701.23-P1P2	7336	8576	3220	2216	5181	2891	1319	521	3526	1485
ZCCHC11_+_53018735.23-P1P2	4309	5374	2120	4432	1286	6289	812	2913	256	22763
ZCCHC11_-_53018465.23-P1P2	4301	5256	2891	5439	2475	3558	1597	4073	1296	845
ZCCHC11_-_53018731.23-P1P2	1090	1846	1411	2081	2387	179	1247	715	3137	122
ZCCHC17_+_31769954.23-P1P2	1161	1386	1708	57	1750	128	1524	19	1383	14
ZCCHC17_-_31769872.23-P1P2	5007	5724	4340	536	3825	912	3519	292	1594	207
ZCCHC17_-_31769902.23-P1P2	3587	5735	1618	5052	2624	8340	815	5338	1335	4233
ZCCHC17_-_31769933.23-P1P2	6272	8855	4405	3502	10056	7096	3640	1369	10268	1291
ZCCHC17_-_31769943.23-P1P2	5372	7249	7907	4152	5285	2351	6605	4049	3670	1136
ZCCHC8_+_122985231.23-P1P2	3620	5075	1930	761	688	1065	1337	257	162	3365
ZCCHC8_+_122985236.23-P1P2	2756	3491	2818	1285	2942	255	1752	356	4915	116
ZCCHC8_+_122985326.23-P1P2	4681	6059	5842	4115	2242	988	6777	2791	4758	233
ZCCHC8_+_122985374.23-P1P2	3894	5026	10989	3149	5689	8749	9694	2142	4584	5096
ZCCHC8_-_122985344.23-P1P2	3144	4430	2914	4488	8408	6586	4325	1911	7359	4110
ZCCHC9_+_80597457.23-P1P2	4954	5598	617	1256	96	528	46	1394	11	468
ZCCHC9_+_80597704.23-P1P2	2722	4033	103	72	2211	978	6	32	2428	400
ZCCHC9_-_80597465.23-P1P2	2512	2960	122	173	77	1790	14	225	15	207
ZCCHC9_-_80597477.23-P1P2	1411	1746	66	267	315	131	4	173	18	27
ZCCHC9_-_80597504.23-P1P2	3852	4685	1815	843	242	1168	745	95	32	612
ZCRB1_+_42719871.23-P1P2	5758	6126	334	314	106	294	60	36	10	35
ZCRB1_+_42719885.23-P1P2	4964	5999	3075	12548	5511	21649	1445	5853	2334	23902
ZCRB1_-_42719842.23-P1P2	7047	7725	3246	2171	1578	4311	1368	2096	779	5127
ZCRB1_-_42719876.23-P1P2	4116	5176	973	330	291	197	324	255	37	188
ZCRB1_-_42719917.23-P1P2	2884	4273	1933	557	1016	357	1403	157	706	110
ZDHHC11_+_849869.23-P1P2	2114	3025	514	1670	302	1044	118	1815	153	736
ZDHHC11_+_850255.23-P1P2	3982	5489	6103	4676	2623	3622	8856	5627	2067	3188
ZDHHC11_+_850287.23-P1P2	7121	8849	7745	7104	3751	6412	4343	4310	2762	2188
ZDHHC11_+_850297.23-P1P2	2839	4275	2691	3823	3525	3036	2000	3604	5090	2410
ZDHHC11_-_849951.23-P1P2	4957	5903	5756	3515	9739	9411	5233	3094	8432	3469
ZFAT_+_135708720.23-P2	3088	3816	2492	4306	3825	1481	2533	2681	2519	378
ZFAT_+_135708729.23-P2	3695	5020	4086	2154	988	2236	2522	1031	556	871
ZFAT_+_135708764.23-P2	5349	6866	8287	11618	1993	9403	7705	11390	1303	14839
ZFAT_-_135708735.23-P2	6905	8377	7632	1727	7243	4166	4696	474	9954	2559
ZFAT_-_135708747.23-P2	8071	8919	5835	5088	8509	6662	3928	2390	4059	3346
ZFAT_-_135725177.23-P1	6193	9982	3039	4723	1338	5496	2005	1690	313	1450
ZFAT_-_135725256.23-P1	5440	7470	6162	7026	2739	1837	2868	3896	2591	369
ZFAT_-_135725268.23-P1	6660	9233	6149	16216	4773	9977	2872	15832	3207	2574
ZFAT_-_135725271.23-P1	2787	3852	1225	3073	954	7110	629	2215	579	4118
ZFAT_-_135725300.23-P1	4517	6281	5097	15188	1894	3179	3458	9695	1007	1595
ZFHX2_+_24020918.23-P1	4827	4985	6325	4120	5187	2469	4773	6301	2618	1427
ZFHX2_+_24020925.23-P1	3281	4860	2247	3427	2013	4030	1119	1146	876	1436
ZFHX2_+_24020931.23-P1	4093	4853	2789	2210	1148	3799	1476	996	240	2808
ZFHX2_+_24024914.23-P2	5665	7386	6574	4321	2725	9213	3851	6805	835	4767
ZFHX2_+_24025063.23-P2	3095	3478	678	451	1917	1145	82	109	386	751
ZFHX2_+_24025076.23-P2	3258	4602	1511	1325	430	2295	833	404	168	827
ZFHX2_+_24025088.23-P2	525	766	590	397	368	266	491	89	68	114
ZFHX2_-_24020715.23-P1	5165	5217	2820	6209	1997	4868	1086	2023	1031	4413
ZFHX2_-_24020970.23-P1	2569	3142	1602	3166	901	1353	845	2308	686	175
ZFHX2_-_24025118.23-P2	3534	4360	6281	1768	2991	8687	5805	1099	3189	3930
ZFP14_+_36870025.23-P1P2	3205	4394	12861	1728	7987	5976	8003	634	2370	2562
ZFP14_+_36870040.23-P1P2	4633	6092	2177	12225	5789	17548	2912	9940	17322	14478
ZFP14_+_36870063.23-P1P2	6010	7467	12718	3807	1821	13183	11106	4691	1117	32290
ZFP14_-_36870045.23-P1P2	6066	8548	9585	6389	20401	11713	5557	8372	21703	12935
ZFP14_-_36870070.23-P1P2	1579	2466	7026	1375	881	2023	7105	1137	301	1119
ZFP1_+_75182459.23-P1P2	4590	5190	6511	1765	6573	1798	3680	890	2937	697
ZFP1_+_75182481.23-P1P2	6511	7026	10522	6433	4867	9175	7733	6578	4890	14564
ZFP1_-_75182450.23-P1P2	4438	5424	3208	5403	1814	8079	3410	8339	1444	15007
ZFP1_-_75182641.23-P1P2	3297	3372	1608	4411	2661	3768	443	1710	732	424
ZFP1_-_75182670.23-P1P2	5285	7035	4231	5515	5662	6615	3984	3799	4866	1836
ZFP2_+_178322925.23-P1P2	2862	3818	1782	1350	895	2830	1929	670	313	2616
ZFP2_+_178323006.23-P1P2	4782	6539	5508	3352	3229	4337	3927	964	2163	19380
ZFP2_-_178322934.23-P1P2	4017	5582	3888	5127	1719	4426	2450	3015	1600	2647
ZFP2_-_178322943.23-P1P2	6949	8185	19234	6405	12204	5892	13726	6380	11163	7339
ZFP2_-_178323085.23-P1P2	6761	8350	3823	4859	7308	7653	3230	2768	15522	6574
ZFP30_+_38146314.23-P1P2	8693	10398	19795	7796	19485	2911	19750	4933	37805	762
ZFP30_+_38146341.23-P1P2	3206	4617	3646	3574	1432	14897	3552	4047	360	6816
ZFP30_-_38146331.23-P1P2	5996	8265	11071	11015	2867	3919	13909	6468	419	913
ZFP30_-_38146347.23-P1P2	4785	6025	3287	4615	2818	4198	4726	4962	1189	467
ZFP30_-_38146370.23-P1P2	5731	8022	4482	5842	1570	8139	3843	7848	527	3563
ZFP36L1_+_69259726.23-P1	3905	5610	5554	4042	3440	4641	5134	4129	18302	828
ZFP36L1_+_69259743.23-P1	6548	7955	4226	8202	10278	7924	3251	6154	6195	4473
ZFP36L1_+_69259764.23-P1	6071	7045	13468	5786	5203	5284	11882	14458	4773	3395
ZFP36L1_+_69262743.23-P2	3218	3858	1313	1034	1013	5523	253	258	185	1628
ZFP36L1_+_69262747.23-P2	3883	5099	2188	4059	4303	3066	730	2365	2299	820
ZFP36L1_+_69262782.23-P2	4243	5148	3048	5074	3539	3485	2888	3206	6905	1165
