	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
0Safe_safe_MP_204550.1156	372	330	536	352	699	483	900	322
0Safe_safe_MP_204550.1157	2247	1907	1721	2009	1728	2112	1788	1027
0Safe_safe_MP_204550.1158	2778	1871	2607	2394	1273	2372	1522	2046
0Safe_safe_MP_204550.1159	489	486	355	1002	234	1293	331	1406
0Safe_safe_MP_204550.1160	4175	3545	3721	3975	2600	4858	3065	3953
0Safe_safe_MP_204550.1161	2454	2514	1591	3239	1224	1813	522	1746
0Safe_safe_MP_204550.1162	3157	2387	2307	1396	2394	1398	2209	1422
0Safe_safe_MP_204550.1163	3789	2624	4238	2783	5254	2983	6076	2498
0Safe_safe_MP_204550.1164	4290	3586	4031	4073	4212	4184	3716	4007
0Safe_safe_MP_204550.1165	1178	1006	603	1135	136	1340	119	606
0Safe_safe_MP_204550.1166	2277	2315	1269	3112	2142	2221	3986	2878
0Safe_safe_MP_204550.1167	3426	2827	2661	2399	2250	2588	1820	2681
0Safe_safe_MP_204550.1168	2691	2492	2884	3093	2690	2058	3090	2076
0Safe_safe_MP_204550.1169	2785	2439	4793	2019	4189	2087	3964	1940
0Safe_safe_MP_204550.1170	2205	1960	2270	1832	2481	2304	3715	3746
0Safe_safe_MP_204550.1171	2051	1351	2725	1091	2849	1231	2473	670
0Safe_safe_MP_204550.1172	3924	2985	2517	3449	3039	3487	2671	5134
0Safe_safe_MP_204550.1173	2373	1700	2590	1823	2442	2213	2617	1667
0Safe_safe_MP_204550.1174	1718	1542	1201	686	637	373	613	193
0Safe_safe_MP_204550.1175	2269	1720	1825	1069	1755	1083	1197	936
0Safe_safe_MP_204550.1176	2237	2067	1897	1181	1682	1587	1277	293
0Safe_safe_MP_204550.1177	1357	975	882	962	1183	636	932	671
0Safe_safe_MP_204550.1178	2250	1986	1915	2246	2325	2393	3216	2286
0Safe_safe_MP_204550.1179	2676	2183	2129	2030	2536	1476	3614	627
0Safe_safe_MP_204550.1180	2351	1937	3197	1185	4043	1006	2121	1169
0Safe_safe_MP_204550.1181	2647	1434	2143	952	2698	952	2410	1094
0Safe_safe_MP_204550.1182	2274	2083	1871	2890	1624	2366	2521	1980
0Safe_safe_MP_204550.1183	3772	3782	4021	3312	5103	2643	7209	3947
0Safe_safe_MP_204550.1184	4742	4727	6805	3948	6863	4302	9016	4058
0Safe_safe_MP_204550.1185	2102	1974	3604	1932	3227	1898	2885	2980
0Safe_safe_MP_204550.1186	2307	2045	1837	2250	1589	1867	1064	1379
0Safe_safe_MP_204550.1187	1653	1269	3900	1800	4849	1296	8139	2020
0Safe_safe_MP_204550.1188	1669	1908	794	1846	1375	1493	1680	783
0Safe_safe_MP_204550.1189	1845	1687	1376	1442	1629	1130	3021	813
0Safe_safe_MP_204550.1190	2606	2318	3303	1901	3567	1970	3918	986
0Safe_safe_MP_204550.1191	2986	2459	2796	2002	2779	2114	2838	2198
0Safe_safe_MP_204550.1192	4026	3637	3481	3184	2129	2606	2701	1967
0Safe_safe_MP_204550.1193	5362	4277	4908	4281	4391	4084	4846	4140
0Safe_safe_MP_204550.1194	1942	1683	1114	1301	1598	1218	1130	1360
0Safe_safe_MP_204550.1195	527	444	539	422	372	485	27	397
0Safe_safe_MP_204550.1196	277	215	127	284	236	594	167	498
0Safe_safe_MP_204550.1197	6750	5319	8702	4003	10194	4094	9830	5063
0Safe_safe_MP_204550.1198	2406	2316	3409	2998	5142	2704	8015	2398
0Safe_safe_MP_204550.1199	3142	2292	2180	2337	2415	2405	1919	2256
0Safe_safe_MP_204550.1200	4886	3351	6056	2797	5456	2813	5872	2598
0Safe_safe_MP_204550.1201	17	11	3	6	0	16	0	0
0Safe_safe_MP_204550.1202	4187	3025	3740	2123	2977	1394	1733	1412
0Safe_safe_MP_204550.1203	3483	3323	3816	3965	6185	3949	7389	2738
0Safe_safe_MP_204550.1204	2121	1272	3456	1083	1499	913	2003	678
0Safe_safe_MP_204550.1205	1835	1746	622	1095	885	980	377	323
0Safe_safe_MP_204550.1206	3580	2925	3207	3864	3788	3199	5618	2744
0Safe_safe_MP_204550.1207	1660	1303	886	1639	624	3113	413	3614
0Safe_safe_MP_204550.1208	2299	1825	2382	1840	3014	1754	3249	1219
0Safe_safe_MP_204550.1209	3271	2866	3001	2415	2337	1663	2631	1115
0Safe_safe_MP_204550.1210	810	804	666	1076	72	517	37	203
0Safe_safe_MP_204550.1211	2695	2614	2021	2636	2858	2362	5105	1457
0Safe_safe_MP_204550.1212	3549	2687	3052	2193	3046	2779	3890	3247
0Safe_safe_MP_204550.1213	2315	1886	1899	1553	1918	1487	2341	942
0Safe_safe_MP_204550.1214	1368	1288	978	1622	895	1411	898	1101
0Safe_safe_MP_204550.1215	3464	2767	3836	2596	2395	1912	2818	1230
0Safe_safe_MP_204550.1216	1120	1130	509	1442	578	942	246	565
0Safe_safe_MP_204550.1217	3061	2840	2346	4089	2175	5598	1796	4941
0Safe_safe_MP_204550.1218	1404	1302	1231	1348	827	2025	246	605
0Safe_safe_MP_204550.1219	1530	1119	1260	1467	865	1046	343	478
0Safe_safe_MP_204550.1220	4303	3913	2875	3455	2753	4155	3210	4657
0Safe_safe_MP_204550.1221	2410	2185	1826	1915	2147	1909	2679	1827
0Safe_safe_MP_204550.1222	1927	1141	1006	680	1299	486	835	333
0Safe_safe_MP_204550.1223	4417	3344	2919	3671	1986	3231	1613	3960
0Safe_safe_MP_204550.1224	1516	1293	901	1692	1083	1925	233	1748
0Safe_safe_MP_204550.1225	3539	2984	3096	3156	2718	3887	1543	4210
0Safe_safe_MP_204550.1226	3173	2234	2532	2081	2209	1153	2770	417
0Safe_safe_MP_204550.1227	5510	4313	5823	4118	5724	3656	6134	2901
0Safe_safe_MP_204550.1228	1975	1861	1015	1597	795	1087	796	354
0Safe_safe_MP_204550.1229	3026	2984	1386	3556	1438	4376	670	5755
0Safe_safe_MP_204550.1230	550	515	558	1084	358	3596	290	1446
0Safe_safe_MP_204550.1231	3466	3370	2168	2642	1434	2684	2409	2454
0Safe_safe_MP_204550.1232	2943	2682	2206	2433	2029	2441	973	1562
0Safe_safe_MP_204550.1233	877	732	778	801	799	1281	553	1033
0Safe_safe_MP_204550.1234	3176	2556	3494	3307	3787	3232	7284	2768
0Safe_safe_MP_204550.1235	3128	2222	2451	2662	2520	3551	2921	4629
0Safe_safe_MP_204550.1236	2981	3469	3726	3166	4081	3239	3153	1789
0Safe_safe_MP_204550.1237	1712	1430	3056	1094	4151	795	5183	1055
0Safe_safe_MP_204550.1238	2104	1680	2309	1174	1951	1374	1681	909
0Safe_safe_MP_204550.1239	2596	2281	2400	1779	4863	1372	4661	1286
0Safe_safe_MP_204550.1240	5374	4484	6529	3937	6479	4418	6381	4013
0Safe_safe_MP_204550.1241	3718	3136	2937	2541	2107	2803	2250	2117
0Safe_safe_MP_204550.1242	1653	1574	1841	1090	2549	1264	2411	771
0Safe_safe_MP_204550.1243	3329	2511	2696	2393	2561	2811	1790	3524
0Safe_safe_MP_204550.1244	868	896	1198	772	946	663	1444	364
0Safe_safe_MP_204550.1245	2413	1833	3276	1335	4320	1122	4988	1342
0Safe_safe_MP_204550.1246	2144	1402	2040	1623	1766	2200	2007	2402
