	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
ENSG00000137078_SIT1_MP_87003.3	1815	1597	1218	1570	1198	1323	1017	1216
ENSG00000137078_SIT1_MP_87004.4	875	772	734	971	327	902	282	930
ENSG00000137078_SIT1_MP_87005.5	2069	1664	2038	1136	2620	1427	2699	969
ENSG00000137078_SIT1_MP_87006.6	1043	845	914	1057	1365	1159	1611	1637
ENSG00000137078_SIT1_MP_87007.7	1403	1773	1279	1758	1122	1377	1145	1177
ENSG00000137078_SIT1_MP_87008.8	2210	1938	1063	2076	1153	2967	966	2238
ENSG00000137078_SIT1_MP_87009.9	1762	1865	1119	2135	1118	2838	847	1913
ENSG00000137078_SIT1_MP_87010.10	839	861	612	521	928	507	2056	824
ENSG00000137101_CD72_MP_23856.1	1440	1032	485	519	633	464	481	124
ENSG00000137101_CD72_MP_23857.2	7306	7479	6436	8863	7037	10754	13293	10904
ENSG00000137101_CD72_MP_23858.3	420	452	432	564	165	336	90	320
ENSG00000137101_CD72_MP_23859.4	1750	1605	907	1647	1075	1358	894	1096
ENSG00000137101_CD72_MP_23860.5	2924	2240	3512	2098	2911	1811	3005	924
ENSG00000137101_CD72_MP_23861.6	1390	944	403	1189	736	1347	214	631
ENSG00000137101_CD72_MP_23862.7	1609	1290	877	965	403	929	491	1556
ENSG00000137101_CD72_MP_23863.8	2413	2004	1686	2646	2036	3100	2814	4114
ENSG00000137101_CD72_MP_23864.9	642	388	513	160	539	622	820	2182
ENSG00000137101_CD72_MP_23865.10	2057	1696	1892	2308	1982	2940	2493	5463
ENSG00000137145_DENND4C_MP_22881.1	2432	1820	1391	753	2196	310	2651	135
ENSG00000137145_DENND4C_MP_22882.2	2789	2639	1206	1951	941	1641	744	1493
ENSG00000137145_DENND4C_MP_22883.3	2434	2604	2151	2226	2030	2065	4393	981
ENSG00000137145_DENND4C_MP_22884.4	1232	984	1395	599	925	660	614	472
ENSG00000137145_DENND4C_MP_22885.5	3984	3561	2259	2651	1566	1247	2109	982
ENSG00000137145_DENND4C_MP_22886.6	4126	3322	2446	1817	2864	1448	2399	708
ENSG00000137145_DENND4C_MP_22887.7	3234	3466	2133	3052	1583	2213	1926	2145
ENSG00000137145_DENND4C_MP_22888.8	242	98	472	1	54	0	74	1
ENSG00000137145_DENND4C_MP_22889.9	2791	2800	2706	1857	1436	1933	1562	1569
ENSG00000137145_DENND4C_MP_22890.10	2292	1962	1260	1416	794	1210	393	997
ENSG00000137210_TMEM14B_MP_72572.1	2734	2644	3500	2881	4371	3226	4888	5547
ENSG00000137210_TMEM14B_MP_72573.2	4807	3192	4623	3414	2833	2455	2978	2851
ENSG00000137210_TMEM14B_MP_72574.3	325	324	121	165	21	315	16	18
ENSG00000137210_TMEM14B_MP_72575.4	1555	1034	1776	2119	1343	1494	1649	624
ENSG00000137210_TMEM14B_MP_72576.5	242	206	82	32	22	0	1	1
ENSG00000137210_TMEM14B_MP_72577.6	3756	2438	2682	3470	3323	4341	2762	5890
ENSG00000137210_TMEM14B_MP_72578.7	1451	971	788	1705	426	1291	197	889
ENSG00000137210_TMEM14B_MP_72579.8	0	0	0	0	0	0	0	0
ENSG00000137210_TMEM14B_MP_72580.9	222	172	17	64	4	26	0	0
ENSG00000137210_TMEM14B_MP_72581.10	1774	1542	2864	1329	2088	723	1800	570
ENSG00000137216_TMEM63B_MP_189859.1	5255	3950	4703	3186	3638	2925	3120	1791
ENSG00000137216_TMEM63B_MP_189860.2	1696	1316	1343	990	765	841	1128	388
ENSG00000137216_TMEM63B_MP_189861.3	1984	1881	1224	1779	1272	1525	1118	1947
ENSG00000137216_TMEM63B_MP_189862.4	1600	1307	1330	1056	1371	679	1547	324
ENSG00000137216_TMEM63B_MP_189863.5	1062	585	665	434	1588	514	1188	366
ENSG00000137216_TMEM63B_MP_189864.6	2447	2042	1037	1018	536	454	527	554
ENSG00000137216_TMEM63B_MP_189865.7	2871	2645	2350	1952	1980	1324	1678	1163
ENSG00000137216_TMEM63B_MP_189866.8	1973	1840	1557	1626	1988	1440	4622	953
ENSG00000137216_TMEM63B_MP_189867.9	2900	2419	2356	2271	2083	2442	1947	2168
ENSG00000137216_TMEM63B_MP_189868.10	4373	3492	3181	2590	3092	3096	2812	3449
ENSG00000137266_SLC22A23_MP_179595.1	3875	3170	3016	3748	2084	5153	1252	3945
ENSG00000137266_SLC22A23_MP_179596.2	3317	3253	1382	2244	800	2320	960	3254
ENSG00000137266_SLC22A23_MP_179597.3	3886	3047	1831	2663	1810	1864	3132	2724
ENSG00000137266_SLC22A23_MP_179598.4	3184	2908	1637	1520	1371	874	1077	445
ENSG00000137266_SLC22A23_MP_179599.5	1180	927	418	1116	473	1287	1337	1330
ENSG00000137266_SLC22A23_MP_179600.6	927	963	516	753	445	397	598	449
ENSG00000137266_SLC22A23_MP_179601.7	5992	4741	4658	5164	5177	4781	5658	4475
ENSG00000137266_SLC22A23_MP_179602.8	2882	2792	1843	1521	1582	1197	1972	1331
ENSG00000137266_SLC22A23_MP_179603.9	2146	1797	1204	2150	905	2118	740	926
ENSG00000137266_SLC22A23_MP_179604.10	6957	5089	6166	3919	8181	4455	11648	5215
ENSG00000137404_NRM_MP_37684.1	2759	2659	1645	2467	1951	1953	1669	1275
ENSG00000137404_NRM_MP_37685.2	4861	3121	3219	4547	2542	3759	3143	3371
ENSG00000137404_NRM_MP_37686.3	3559	3234	3559	2669	2078	2470	2482	1324
ENSG00000137404_NRM_MP_37687.4	3278	2820	2627	3121	1632	3726	1893	3266
ENSG00000137404_NRM_MP_37688.5	3107	2810	3690	2657	2858	2320	1744	2355
ENSG00000137404_NRM_MP_37689.6	2935	2976	2402	1891	3125	1758	3405	1108
ENSG00000137404_NRM_MP_37690.7	7712	6003	8393	5922	9608	4655	12087	5020
ENSG00000137404_NRM_MP_37691.8	1966	1563	1601	897	1454	873	2023	758
ENSG00000137404_NRM_MP_37692.9	3935	3057	3459	2460	3112	1926	3810	2196
ENSG00000137404_NRM_MP_37693.10	3176	3266	3898	4422	5216	4840	5893	4959
ENSG00000137414_FAM8A1_MP_109401.1	6005	5075	5540	3963	6009	4133	8885	4274
ENSG00000137414_FAM8A1_MP_109402.2	3850	3079	4028	3289	3335	2908	3676	2795
ENSG00000137414_FAM8A1_MP_109403.3	880	709	530	796	333	251	332	660
ENSG00000137414_FAM8A1_MP_109404.4	4215	3902	6525	4081	6839	3886	7915	3591
ENSG00000137414_FAM8A1_MP_109405.5	1606	1905	1786	1551	2280	1491	2747	1469
ENSG00000137414_FAM8A1_MP_109406.6	6011	4333	4314	5055	3349	4033	4037	5354
ENSG00000137414_FAM8A1_MP_109407.7	2788	1954	1966	1310	1774	1208	1735	708
ENSG00000137414_FAM8A1_MP_109408.8	1052	844	568	927	299	943	940	484
ENSG00000137414_FAM8A1_MP_109409.9	4134	3504	4516	4731	6108	4897	5235	3657
ENSG00000137414_FAM8A1_MP_109410.10	2659	2318	3749	2269	5641	1645	9557	886
ENSG00000137507_LRRC32_MP_51435.1	1244	1285	1447	1119	1142	760	1018	239
ENSG00000137507_LRRC32_MP_51436.2	4786	4760	5210	4025	3138	2989	3838	2147
ENSG00000137507_LRRC32_MP_51437.3	4886	2985	4142	3136	3694	4122	5794	3452
ENSG00000137507_LRRC32_MP_51438.4	4111	2964	2878	2442	2027	2218	1841	903
ENSG00000137507_LRRC32_MP_51439.5	7416	6843	5465	7473	4277	7351	3443	6677
ENSG00000137507_LRRC32_MP_51440.6	4013	3034	4010	3261	4207	4010	4089	5067
ENSG00000137507_LRRC32_MP_51441.7	3143	1984	3231	2156	3700	2968	3068	2628
ENSG00000137507_LRRC32_MP_51442.8	3028	2421	2019	2342	1327	2620	1150	1953
ENSG00000137507_LRRC32_MP_51443.9	1952	2008	2027	1746	1043	2174	938	1078
ENSG00000137507_LRRC32_MP_51444.10	2297	2542	1583	2957	1499	2821	1158	3456
ENSG00000137842_TMEM62_MP_119619.1	616	668	227	352	168	339	296	396
ENSG00000137842_TMEM62_MP_119620.2	1208	997	1382	833	1731	833	1967	885
ENSG00000137842_TMEM62_MP_119621.3	1167	1125	1177	1152	643	401	347	368
ENSG00000137842_TMEM62_MP_119622.4	629	529	448	374	147	542	67	490
ENSG00000137842_TMEM62_MP_119623.5	1405	1167	904	373	440	582	185	1103
ENSG00000137842_TMEM62_MP_119624.6	1440	1238	688	1116	592	627	446	771
ENSG00000137842_TMEM62_MP_119625.7	3376	4882	4124	4102	5537	3999	6186	4265
ENSG00000137842_TMEM62_MP_119626.8	3912	3617	2767	4546	3865	4900	2735	3339
ENSG00000137842_TMEM62_MP_119627.9	2053	1872	2739	2275	2363	1417	2339	776
ENSG00000137842_TMEM62_MP_119628.10	669	277	1668	162	1534	257	1566	171
ENSG00000137868_STRA6_MP_126942.1	1606	1290	745	1544	2059	1274	3513	2106
ENSG00000137868_STRA6_MP_126943.2	3374	2614	2231	2154	2693	2005	3407	1838
ENSG00000137868_STRA6_MP_126944.3	2572	2002	4788	2730	5102	2057	6357	1733
ENSG00000137868_STRA6_MP_126945.4	3492	3076	3636	3180	2555	1917	2382	1536
ENSG00000137868_STRA6_MP_126946.5	1077	1111	1149	626	2543	736	1663	328
ENSG00000137868_STRA6_MP_126947.6	4858	4381	3627	4274	3745	4258	3863	2974
ENSG00000137868_STRA6_MP_126948.7	2903	2349	2626	2343	1657	2135	1679	1532
ENSG00000137868_STRA6_MP_126949.8	1263	1278	710	768	553	118	683	105
ENSG00000137868_STRA6_MP_126950.9	6922	6506	7645	6444	9059	6872	8929	7102
ENSG00000137868_STRA6_MP_126951.10	3667	2672	2606	2300	2104	2304	882	1168
ENSG00000137968_SLC44A5_MP_160464.1	3459	2513	3480	3335	2498	1626	1959	1492
ENSG00000137968_SLC44A5_MP_160465.2	5143	4200	4352	3476	3648	2888	3946	1569
ENSG00000137968_SLC44A5_MP_160466.3	5038	4038	5590	2934	5882	2358	7020	2326
ENSG00000137968_SLC44A5_MP_160467.4	493	478	249	278	134	703	256	387
ENSG00000137968_SLC44A5_MP_160468.5	2939	2150	1773	1856	1326	1432	1641	971
ENSG00000137968_SLC44A5_MP_160469.6	1808	1240	1917	1318	1307	1067	1535	620
ENSG00000137968_SLC44A5_MP_160470.7	1745	1537	946	939	616	591	186	331
ENSG00000137968_SLC44A5_MP_160471.8	1602	1824	1271	1714	1923	2196	2307	2122
ENSG00000137968_SLC44A5_MP_160472.9	973	896	561	560	531	442	1730	215
ENSG00000137968_SLC44A5_MP_160473.10	1434	1313	603	916	629	522	249	468
ENSG00000137975_CLCA2_MP_55088.1	1118	1109	1225	1702	1111	1337	1311	1902
ENSG00000137975_CLCA2_MP_55089.2	3345	3037	1850	2346	1509	2458	1292	3315
ENSG00000137975_CLCA2_MP_55090.3	2463	1837	1708	1392	932	1500	1160	1945
ENSG00000137975_CLCA2_MP_55091.4	1225	717	662	701	884	595	777	379
ENSG00000137975_CLCA2_MP_55092.5	1389	1621	764	2483	504	1718	186	1748
ENSG00000137975_CLCA2_MP_55093.6	2642	2256	1993	2491	1214	2671	851	2977
ENSG00000137975_CLCA2_MP_55094.7	1641	1383	1399	1242	1254	1543	1572	570
ENSG00000137975_CLCA2_MP_55095.8	3920	3594	3425	2564	2093	2915	2733	3144
ENSG00000137975_CLCA2_MP_55096.9	1330	1561	1020	2183	1567	2332	2777	1957
ENSG00000137975_CLCA2_MP_55097.10	3885	3449	4242	4266	6233	4832	11473	5385
ENSG00000138111_TMEM180_MP_26365.1	2240	1724	3107	1243	1992	1266	1899	1096
ENSG00000138111_TMEM180_MP_26366.2	874	477	682	475	185	513	110	365
ENSG00000138111_TMEM180_MP_26367.3	1482	1740	1099	2637	932	2924	677	2776
ENSG00000138111_TMEM180_MP_26368.4	4490	3706	4529	4581	3569	3576	2634	3191
ENSG00000138111_TMEM180_MP_26369.5	456	891	114	1255	458	1337	621	1076
ENSG00000138111_TMEM180_MP_26370.6	7545	6179	7304	6171	6992	5879	7837	4913
ENSG00000138111_TMEM180_MP_26371.7	2312	2062	2443	2327	2449	2426	1620	2556
ENSG00000138111_TMEM180_MP_26372.8	1633	1118	983	944	860	851	974	434
ENSG00000138111_TMEM180_MP_26373.9	1930	1852	650	2286	578	1492	419	1504
ENSG00000138111_TMEM180_MP_26374.10	1680	1325	855	1831	1293	2796	1976	4892
ENSG00000138185_ENTPD1_MP_100675.1	4402	3260	5173	5413	8161	5852	12417	7093
ENSG00000138185_ENTPD1_MP_100676.2	3374	2861	4728	3299	4069	3690	4632	2889
ENSG00000138185_ENTPD1_MP_100677.3	7165	5277	5437	3879	4145	3456	4174	2748
ENSG00000138185_ENTPD1_MP_100678.4	1854	1357	1141	1178	911	1521	736	770
ENSG00000138185_ENTPD1_MP_100679.5	6517	6029	6082	6109	5556	4553	5358	3365
ENSG00000138185_ENTPD1_MP_100680.6	1773	1797	1105	2493	1221	2550	1660	2664
ENSG00000138185_ENTPD1_MP_100681.7	1932	1335	2297	1785	3188	1914	2742	1843
ENSG00000138185_ENTPD1_MP_100682.8	4656	3903	3650	3215	2118	4493	1769	4390
ENSG00000138185_ENTPD1_MP_100683.9	4208	4427	4125	4308	3263	4877	5630	4076
ENSG00000138185_ENTPD1_MP_100684.10	3762	2881	3526	2499	3416	2288	6039	2443
ENSG00000138459_SLC35A5_MP_141804.1	1160	1456	1029	1590	1335	2283	1955	1029
ENSG00000138459_SLC35A5_MP_141805.2	1676	1499	2764	1256	2215	1167	1702	1719
ENSG00000138459_SLC35A5_MP_141806.3	1749	1528	1531	2257	941	2735	292	2424
ENSG00000138459_SLC35A5_MP_141807.4	407	372	236	398	37	421	97	230
ENSG00000138459_SLC35A5_MP_141808.5	925	765	387	1058	514	495	375	145
ENSG00000138459_SLC35A5_MP_141809.6	606	378	759	444	215	339	574	116
ENSG00000138459_SLC35A5_MP_141810.7	998	933	590	1650	1022	1376	1724	1780
ENSG00000138459_SLC35A5_MP_141811.8	5642	4401	4231	3984	3764	3426	5192	3592
ENSG00000138459_SLC35A5_MP_141812.9	1328	772	744	1003	693	1263	1133	834
ENSG00000138459_SLC35A5_MP_141813.10	1075	1216	1013	1698	425	2331	314	1800
ENSG00000138463_DIRC2_MP_155116.1	3076	2963	1808	3432	774	4607	1056	5520
ENSG00000138463_DIRC2_MP_155117.2	973	918	757	769	494	508	644	1066
ENSG00000138463_DIRC2_MP_155118.3	3870	3325	2569	2717	1906	2338	1224	1566
ENSG00000138463_DIRC2_MP_155119.4	4004	3741	3398	2936	4802	2184	4103	2285
ENSG00000138463_DIRC2_MP_155120.5	3843	3227	3588	3073	1775	3054	927	2102
ENSG00000138463_DIRC2_MP_155121.6	2658	2032	1816	1349	1871	1335	1388	688
ENSG00000138463_DIRC2_MP_155122.7	1231	1148	588	855	295	817	85	527
ENSG00000138463_DIRC2_MP_155123.8	3118	2960	2607	2814	2503	2264	2393	2148
ENSG00000138463_DIRC2_MP_155124.9	4080	3425	4509	4128	2731	5735	3152	5024
ENSG00000138463_DIRC2_MP_155125.10	852	695	657	503	390	691	308	616
ENSG00000138617_PARP16_MP_29777.1	1455	1066	1757	549	1696	228	1095	195
ENSG00000138617_PARP16_MP_29778.2	5958	5478	5895	4755	6966	4136	6932	3783
ENSG00000138617_PARP16_MP_29779.3	667	434	262	295	53	284	24	73
ENSG00000138617_PARP16_MP_29780.4	3183	2910	1520	2971	900	2133	542	1465
ENSG00000138617_PARP16_MP_29781.5	2657	2028	3002	985	4236	1044	4591	578
ENSG00000138617_PARP16_MP_29782.6	2708	2038	1124	2399	1637	2272	652	937
ENSG00000138617_PARP16_MP_29783.7	4405	3294	4088	3552	5003	2798	4588	1661
ENSG00000138617_PARP16_MP_29784.8	3168	2668	2122	1970	1160	2028	646	2302
ENSG00000138617_PARP16_MP_29785.9	2926	2346	2504	2079	1705	1565	1668	1018
ENSG00000138617_PARP16_MP_29786.10	8680	7725	6942	6061	7000	7716	7304	5112
ENSG00000138821_SLC39A8_MP_127670.1	3572	2407	5134	3125	6091	4284	6825	3919
ENSG00000138821_SLC39A8_MP_127671.2	2537	1728	2651	2378	3438	2128	2690	1789
ENSG00000138821_SLC39A8_MP_127672.3	2117	1672	1109	1984	575	1920	289	2892
ENSG00000138821_SLC39A8_MP_127673.4	3020	2656	4034	3361	3433	4522	2308	5705
ENSG00000138821_SLC39A8_MP_127674.5	5794	4897	7115	5136	7811	4298	8425	3474
ENSG00000138821_SLC39A8_MP_127675.6	2357	1367	2680	1524	2334	1903	2517	1071
ENSG00000138821_SLC39A8_MP_127676.7	4098	3409	3034	3852	3192	6545	2681	7323
ENSG00000138821_SLC39A8_MP_127677.8	1584	1115	1713	2188	2105	1870	1994	1258
ENSG00000138821_SLC39A8_MP_127678.9	1274	666	1114	981	1672	677	1369	212
ENSG00000138821_SLC39A8_MP_127679.10	1604	1723	2036	1549	2349	1196	600	571
ENSG00000139133_ALG10_MP_98778.1	2544	1531	2838	1747	2029	1837	2397	1736
ENSG00000139133_ALG10_MP_98779.2	4646	3856	4362	2804	4965	2756	5154	2331
ENSG00000139133_ALG10_MP_98780.3	1097	649	1691	421	2703	263	4901	114
ENSG00000139133_ALG10_MP_98781.4	3910	4075	3530	3432	2372	2833	2391	2102
ENSG00000139133_ALG10_MP_98782.5	1577	1562	977	1381	712	1065	1279	608
ENSG00000139133_ALG10_MP_98783.6	1966	1429	2237	1373	1645	1427	776	953
ENSG00000139133_ALG10_MP_98784.7	3944	3377	2255	2316	1428	3053	1244	2530
ENSG00000139133_ALG10_MP_98785.8	2301	2169	1024	753	637	724	460	719
ENSG00000139133_ALG10_MP_98786.9	281	259	414	113	577	60	524	22
ENSG00000139133_ALG10_MP_98787.10	31	13	8	5	13	16	0	2
ENSG00000139182_CLSTN3_MP_23329.1	3983	3779	2566	2587	2806	2002	2129	2543
ENSG00000139182_CLSTN3_MP_23330.2	408	367	387	221	298	153	102	18
ENSG00000139182_CLSTN3_MP_23331.3	2012	1512	1299	872	758	809	556	385
ENSG00000139182_CLSTN3_MP_23332.4	2206	2041	2364	1615	2108	1828	2432	1812
ENSG00000139182_CLSTN3_MP_23333.5	3341	2172	1959	1443	1875	1198	3380	1300
ENSG00000139182_CLSTN3_MP_23334.6	877	959	839	589	600	626	404	274
ENSG00000139182_CLSTN3_MP_23335.7	3623	2770	2777	1832	1932	1767	1766	790
ENSG00000139182_CLSTN3_MP_23336.8	2338	1907	1515	851	400	1312	150	995
ENSG00000139182_CLSTN3_MP_23337.9	4692	3508	2968	2651	3207	2613	3680	1285
ENSG00000139182_CLSTN3_MP_23338.10	3533	2665	2689	3417	2863	3510	3219	3017
ENSG00000139187_KLRG1_MP_23359.1	3974	3293	2553	3116	1490	3014	1370	1801
ENSG00000139187_KLRG1_MP_23360.2	4633	4179	4737	4774	4547	5726	5487	4929
ENSG00000139187_KLRG1_MP_23361.3	2009	1992	1656	819	1514	811	1841	474
ENSG00000139187_KLRG1_MP_23362.4	761	349	1201	193	2846	170	2280	14
ENSG00000139187_KLRG1_MP_23363.5	4014	3785	5314	4730	4614	3978	8797	4720
ENSG00000139187_KLRG1_MP_23364.6	4488	3535	4197	3031	3265	2670	3625	2373
ENSG00000139187_KLRG1_MP_23365.7	4851	4723	3410	4787	2850	4488	1737	5089
ENSG00000139187_KLRG1_MP_23366.8	611	383	792	408	2729	444	922	179
ENSG00000139187_KLRG1_MP_23367.9	4805	3739	3035	2967	2574	3642	2581	3015
ENSG00000139187_KLRG1_MP_23368.10	1852	1647	931	1655	1018	1148	2268	932
ENSG00000139200_PIANP_MP_117518.1	1964	1424	1371	1520	880	1098	889	764
ENSG00000139200_PIANP_MP_117519.2	2453	2450	1899	1966	1399	1961	784	1353
ENSG00000139200_PIANP_MP_117520.3	2849	3289	2254	2634	1646	3423	2172	3483
ENSG00000139200_PIANP_MP_117521.4	2424	1809	3107	1607	2169	1169	995	1124
ENSG00000139200_PIANP_MP_117522.5	2267	1899	989	2613	712	1885	351	789
ENSG00000139200_PIANP_MP_117523.6	2341	2120	1299	1025	1259	1384	739	886
ENSG00000139200_PIANP_MP_117524.7	3110	2732	3513	2506	4086	2181	3300	1079
ENSG00000139200_PIANP_MP_117525.8	2992	2574	2345	2234	3318	2760	2579	3286
ENSG00000139200_PIANP_MP_117526.9	1455	1149	1250	1643	1345	1289	1293	675
ENSG00000139200_PIANP_MP_117527.10	2771	2447	1262	2492	644	2245	578	975
ENSG00000139211_AMIGO2_MP_21056.1	3306	2850	2818	3046	3071	3446	2634	2698
ENSG00000139211_AMIGO2_MP_21057.2	3156	2794	1639	2638	1080	2463	930	1796
ENSG00000139211_AMIGO2_MP_21058.3	2524	2142	1177	1063	1214	1165	733	737
ENSG00000139211_AMIGO2_MP_21059.4	2344	2089	1714	2354	1883	2339	2949	1954
ENSG00000139211_AMIGO2_MP_21060.5	2376	1981	1829	1937	1730	2094	1587	1430
ENSG00000139211_AMIGO2_MP_21061.6	2150	2175	1554	2037	1951	2509	2788	2857
ENSG00000139211_AMIGO2_MP_21062.7	1944	1893	1361	1003	1184	711	334	364
ENSG00000139211_AMIGO2_MP_21063.8	3240	3202	2324	2844	4841	1997	7446	2089
ENSG00000139211_AMIGO2_MP_21064.9	1447	1037	1803	695	974	459	1025	361
ENSG00000139211_AMIGO2_MP_21065.10	808	575	1794	271	4014	190	4587	93
ENSG00000139233_LLPH_MP_28048.1	319	145	85	258	45	61	126	0
ENSG00000139233_LLPH_MP_28049.2	2078	1825	1554	1538	1488	2275	681	663
ENSG00000139233_LLPH_MP_28050.3	2645	2188	1502	2186	1947	3065	1822	2913
ENSG00000139233_LLPH_MP_28051.4	5393	3545	3421	3627	4448	4231	2968	3023
ENSG00000139233_LLPH_MP_28052.5	3455	2778	3384	1698	2251	1265	1343	826
ENSG00000139233_LLPH_MP_28053.6	1430	954	187	283	150	577	34	102
ENSG00000139233_LLPH_MP_28054.7	1886	1175	1013	1392	1093	1086	773	1051
ENSG00000139233_LLPH_MP_28055.8	691	507	276	507	266	404	213	179
ENSG00000139233_LLPH_MP_28056.9	2837	2360	2607	1930	1846	2023	1498	1249
ENSG00000139233_LLPH_MP_28057.10	3670	3010	1480	1761	2101	946	1834	342
ENSG00000139263_LRIG3_MP_110627.1	1830	1362	2378	1819	3205	3720	2657	2594
ENSG00000139263_LRIG3_MP_110628.2	3994	3161	2460	3254	1355	2230	807	1864
ENSG00000139263_LRIG3_MP_110629.3	1315	1313	803	911	369	1016	268	1115
ENSG00000139263_LRIG3_MP_110630.4	3701	2919	1827	3181	3055	2291	2694	1988
ENSG00000139263_LRIG3_MP_110631.5	3604	2979	2435	2865	2092	2534	3214	2396
ENSG00000139263_LRIG3_MP_110632.6	3577	3801	3201	4861	4174	6018	4034	6189
ENSG00000139263_LRIG3_MP_110633.7	397	304	451	474	327	444	402	263
ENSG00000139263_LRIG3_MP_110634.8	6262	6106	5422	5650	6462	5502	8275	6271
ENSG00000139263_LRIG3_MP_110635.9	6684	4969	5186	4364	5159	3531	5933	3606
ENSG00000139263_LRIG3_MP_110636.10	3310	3300	1835	2797	1795	3416	2450	3610
ENSG00000139291_TMEM19_MP_31571.1	783	1016	249	605	433	550	316	401
ENSG00000139291_TMEM19_MP_31572.2	4211	3398	4169	2443	3924	2788	4363	3528
ENSG00000139291_TMEM19_MP_31573.3	3628	2742	2201	2602	2148	2717	2451	1542
ENSG00000139291_TMEM19_MP_31574.4	1476	1768	941	1507	1099	1135	1058	1628
ENSG00000139291_TMEM19_MP_31575.5	1508	953	2050	997	1860	852	4407	809
ENSG00000139291_TMEM19_MP_31576.6	2700	2611	1825	1626	1070	2759	1522	2348
ENSG00000139291_TMEM19_MP_31577.7	2281	1883	3384	1858	2607	2306	2962	1294
ENSG00000139291_TMEM19_MP_31578.8	1639	1294	1050	1007	288	809	224	768
ENSG00000139291_TMEM19_MP_31579.9	3335	3213	1899	2905	1638	2634	1411	2298
ENSG00000139291_TMEM19_MP_31580.10	2004	1264	1552	1295	2614	1253	4027	1180
ENSG00000139370_SLC15A4_MP_38875.1	2880	2485	1976	2240	1690	2368	2062	1671
ENSG00000139370_SLC15A4_MP_38876.2	1818	1721	977	964	303	1139	191	616
ENSG00000139370_SLC15A4_MP_38877.3	4470	4530	3287	3854	1878	3119	1343	3813
ENSG00000139370_SLC15A4_MP_38878.4	2270	2144	1865	2181	1052	1314	2025	1588
ENSG00000139370_SLC15A4_MP_38879.5	1565	1137	1103	1251	1115	851	766	470
ENSG00000139370_SLC15A4_MP_38880.6	4945	3811	3873	3379	6190	3179	4399	4656
ENSG00000139370_SLC15A4_MP_38881.7	3164	2727	3743	2049	3749	1593	3276	1506
ENSG00000139370_SLC15A4_MP_38882.8	1285	1113	875	1007	1152	1020	373	468
ENSG00000139370_SLC15A4_MP_38883.9	4428	4419	2958	2743	3452	2420	3479	1771
ENSG00000139370_SLC15A4_MP_38884.10	613	619	543	320	511	445	498	208
ENSG00000139508_SLC46A3_MP_71192.1	2967	3041	2674	3188	2524	2503	1571	1728
ENSG00000139508_SLC46A3_MP_71193.2	3118	3438	3320	4984	4659	6037	8921	7296
ENSG00000139508_SLC46A3_MP_71194.3	1378	1946	1287	1151	2288	1528	2121	501
ENSG00000139508_SLC46A3_MP_71195.4	1121	1408	1068	1545	719	1371	445	1008
ENSG00000139508_SLC46A3_MP_71196.5	859	729	484	251	388	80	421	457
ENSG00000139508_SLC46A3_MP_71197.6	2683	1948	1945	2286	3193	2546	6629	1454
ENSG00000139508_SLC46A3_MP_71198.7	1710	1415	1769	2143	2909	1962	1758	584
ENSG00000139508_SLC46A3_MP_71199.8	2691	2417	2237	2458	2675	1656	2763	1087
ENSG00000139508_SLC46A3_MP_71200.9	2114	2073	1233	2059	2144	2662	2415	2132
ENSG00000139508_SLC46A3_MP_71201.10	1356	1026	656	1831	1061	1961	2256	2492
ENSG00000139540_SLC39A5_MP_85148.1	4828	3891	4651	3070	3919	2870	6314	2721
ENSG00000139540_SLC39A5_MP_85149.2	3810	2840	2777	3151	3218	2410	2360	1920
ENSG00000139540_SLC39A5_MP_85150.3	2908	2893	1260	3655	815	4249	789	3643
ENSG00000139540_SLC39A5_MP_85151.4	1404	1342	1257	1455	1247	1295	836	782
ENSG00000139540_SLC39A5_MP_85152.5	923	761	755	355	1213	161	1036	46
ENSG00000139540_SLC39A5_MP_85153.6	3935	3227	3762	3685	2973	3607	2352	2847
ENSG00000139540_SLC39A5_MP_85154.7	1756	1300	1029	1786	733	2269	587	1946
ENSG00000139540_SLC39A5_MP_85155.8	2160	1636	1482	1248	3906	985	4992	1297
ENSG00000139540_SLC39A5_MP_85156.9	3541	2710	1838	1839	1830	1954	4894	1291
ENSG00000139540_SLC39A5_MP_85157.10	1484	1449	2100	1980	1881	3095	1131	2805
ENSG00000139572_GPR84_MP_105567.1	3303	2501	3110	2287	3514	2076	3771	1949
ENSG00000139572_GPR84_MP_105568.2	3067	2667	2124	1977	3079	2270	4851	1524
ENSG00000139572_GPR84_MP_105569.3	2361	1709	997	1564	708	1618	1021	631
ENSG00000139572_GPR84_MP_105570.4	3668	3811	1985	3551	2198	4753	1287	4139
ENSG00000139572_GPR84_MP_105571.5	5887	5844	5199	4308	7051	4656	5277	3506
ENSG00000139572_GPR84_MP_105572.6	1064	879	655	553	601	754	968	623
ENSG00000139572_GPR84_MP_105573.7	3681	4057	1599	4079	1326	2672	762	2478
ENSG00000139572_GPR84_MP_105574.8	2075	1788	1298	1397	791	1108	824	745
ENSG00000139572_GPR84_MP_105575.9	507	278	535	225	236	131	286	173
ENSG00000139572_GPR84_MP_105576.10	2772	2516	2943	2693	2635	2342	1553	2886
