	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg
gene																																																			
ANO9	ENSG00000185101	0.49975767686374994	0.025779674160069113	10.0	10.0	ENSG00000185101	0.17348556942991744	-0.1854903697598506	10.0	10.0	ENSG00000185101	0.5318063681479142	-0.09371102006299636	0.17884000000000003	0.3958955725577641	10.0	10.0	ENSG00000185101	0.9117790340648543	0.044812238449913076	10.0	10.0	ENSG00000185101	0.09050501183933579	-0.16943770754545376	10.0	10.0	ENSG00000185101	0.19451722197156984	-0.13758449784340382	0.23000333333333334	0.239325616958612	10.0	10.0	ENSG00000185101	0.7072677647882442	-0.18096104992961706	10.0	10.0	ENSG00000185101	0.5923332577474185	-0.036151014583083826	9.0	9.0	ENSG00000185101	0.3232194734967593	-0.10555985632123233	0.22972666666666663	0.2583607373969087	9.0	9.0
ANTXR1	ENSG00000169604	0.09291520308907206	-0.14357852305079427	10.0	10.0	ENSG00000169604	0.37761583169661495	-0.20362964661401137	9.0	9.0	ENSG00000169604	0.06169421397688648	-0.17552604068862587	-0.07148	0.5584975953027117	9.0	9.0	ENSG00000169604	0.12390115457556132	-0.20817223589749126	9.0	9.0	ENSG00000169604	0.5409236613194863	-0.07167262376444679	9.0	9.0	ENSG00000169604	0.11922702625221314	-0.17848416750092097	-0.37736	0.9208802910401447	9.0	9.0	ENSG00000169604	0.11618353566281221	-0.17351427440440367	10.0	10.0	ENSG00000169604	0.8231499054058353	0.04423095111789572	9.0	9.0	ENSG00000169604	0.41298623476969365	-0.08433127588237997	0.013393333333333368	0.20739027840282476	9.0	9.0
APOL1	ENSG00000100342	0.040410606293637776	-0.2602096195253542	10.0	10.0	ENSG00000100342	0.348010967531052	-0.43907309240478026	10.0	10.0	ENSG00000100342	0.004097318805501395	-0.25470775047277344	-0.26537	0.5771690805805798	10.0	10.0	ENSG00000100342	0.012948604793857862	-0.23333887475124268	10.0	10.0	ENSG00000100342	0.5094894494153472	-0.3234329144999628	10.0	10.0	ENSG00000100342	0.0043476354713472285	-0.23799251582550354	-0.7690266666666666	0.5033841852372053	10.0	10.0	ENSG00000100342	0.007581171696215995	-0.1860031297355	10.0	10.0	ENSG00000100342	0.9233401143574441	-0.12037478418393348	9.0	9.0	ENSG00000100342	0.1440057481484826	-0.1584508559715011	0.21727	0.9036317055120727	9.0	9.0
APOL4	ENSG00000100336	0.3374672747775018	-0.06395219369603893	10.0	10.0	ENSG00000100336	0.47357563813523995	0.13972134112700624	9.0	9.0	ENSG00000100336	0.8579209268921547	-0.03992356898050917	0.20325000000000001	0.5449301724384833	9.0	9.0	ENSG00000100336	0.0198285967328416	-0.26871659436876255	9.0	9.0	ENSG00000100336	0.5905471807503865	0.03067769703977628	8.0	8.0	ENSG00000100336	0.018050307353809823	-0.11632086833177387	-0.1630033333333333	0.08668059560793868	8.0	8.0	ENSG00000100336	0.02274975530464289	-0.36528124169320125	10.0	10.0	ENSG00000100336	0.6570807141230838	0.031946513424895906	8.0	8.0	ENSG00000100336	0.013374126873035738	-0.1912183340721142	-0.5723833333333334	0.04228305986558699	8.0	8.0
AQP10	ENSG00000143595	0.15282815324556231	-0.2492820219867438	10.0	10.0	ENSG00000143595	0.468941691017022	-0.0640061798361688	10.0	10.0	ENSG00000143595	0.40598835160466407	-0.1880565713150861	-0.028289999999999982	0.8933038139691629	10.0	10.0	ENSG00000143595	0.21851623859387947	-0.2606419056315608	10.0	10.0	ENSG00000143595	0.9304210184392006	-0.10063282802954569	10.0	10.0	ENSG00000143595	0.3636917939615233	-0.18130005636249694	0.44094666666666665	0.3230673276509377	10.0	10.0	ENSG00000143595	0.28917987706156434	-0.11901181630004111	10.0	10.0	ENSG00000143595	0.2720220688741144	-0.03262119321194134	10.0	10.0	ENSG00000143595	0.7817606413569894	-0.08819610628830031	0.8928366666666666	0.8567405403445809	10.0	10.0
AQP3	ENSG00000165272	0.21858387367675336	0.03264373764229154	10.0	10.0	ENSG00000165272	0.25327355711641264	0.09428725055405147	10.0	10.0	ENSG00000165272	0.11368088169951118	0.029455181575712485	0.39182	0.6143494961659731	10.0	10.0	ENSG00000165272	0.4116144608277482	-0.17497903935837408	10.0	10.0	ENSG00000165272	0.12514826265478282	0.07228899624681527	10.0	10.0	ENSG00000165272	0.6804742030522846	-0.05168953968333615	0.5344533333333333	0.8272539400958603	10.0	10.0	ENSG00000165272	0.032247852224347166	-0.2125838806122675	10.0	10.0	ENSG00000165272	0.10793804742029994	0.11986816724427167	10.0	10.0	ENSG00000165272	0.6078097071188687	-0.11263945454169384	0.67833	0.35378414705088457	10.0	10.0
AQP8	ENSG00000103375	0.1077462668294467	-0.20338570763485408	10.0	10.0	ENSG00000103375	0.3280365662453918	0.01630316873440485	10.0	10.0	ENSG00000103375	0.26566190762415176	-0.03295068644174004	0.10468666666666666	0.07298514127212379	10.0	10.0	ENSG00000103375	0.32011643846376403	-0.2569670587372182	10.0	10.0	ENSG00000103375	0.3067332042889276	-0.006499095864795139	10.0	10.0	ENSG00000103375	0.3385797665562763	-0.029419889230511188	0.46366999999999997	0.33601230865129894	10.0	10.0	ENSG00000103375	0.3955655996581605	-0.0924329124208827	10.0	10.0	ENSG00000103375	0.2593848225506524	0.039257735062003855	10.0	10.0	ENSG00000103375	0.6542648690891759	-0.025513042674771252	0.7360066666666666	0.09671872841632749	10.0	10.0
ARIH2OS	ENSG00000221883	0.7868617042776092	-0.06785590661032904	10.0	10.0	ENSG00000221883	1.574038041888691e-05	0.3097017229253874	10.0	10.0	ENSG00000221883	0.0006534763428674138	0.1731794429508269	0.6744699999999999	0.0011770971573821004	10.0	10.0	ENSG00000221883	0.9619607975670136	-0.12430825904898786	10.0	10.0	ENSG00000221883	0.00017162891966329087	0.2405222778010165	10.0	10.0	ENSG00000221883	0.010377670496514056	0.1216016352927639	0.8558433333333334	0.006285130872935958	10.0	10.0	ENSG00000221883	0.8793125459059649	-0.15590305537397847	10.0	10.0	ENSG00000221883	0.0004893146546228033	0.14197610398659943	10.0	10.0	ENSG00000221883	0.035503338308545	-0.03594591590883089	1.00527	0.0775009937951302	10.0	10.0
ARL6IP6	ENSG00000177917	0.6105647109041734	-0.08008502234537541	10.0	10.0	ENSG00000177917	0.826347452817868	-0.01619454997640458	10.0	10.0	ENSG00000177917	0.8341386342115455	-0.04185563324216618	-0.03187333333333333	0.6225252227323512	10.0	10.0	ENSG00000177917	0.6131744611535753	-0.04887316776347509	10.0	10.0	ENSG00000177917	0.3172676524712703	0.10760625814534693	10.0	10.0	ENSG00000177917	0.21285171475523668	0.10328062212120796	0.8586100000000001	0.7056351132596637	10.0	10.0	ENSG00000177917	0.46474395327649554	0.03950245524444468	10.0	10.0	ENSG00000177917	0.8350677603537081	-0.008194321978403507	10.0	10.0	ENSG00000177917	0.4509478621358336	0.07833197404610555	0.9523066666666667	0.584121420808151	10.0	10.0
ARMCX1	ENSG00000126947	0.7190081532051331	0.06745419007062355	10.0	10.0	ENSG00000126947	0.265672082955588	0.03569097635142797	10.0	10.0	ENSG00000126947	0.39202289850607175	0.0640781546483989	0.5056266666666667	0.9681928071929622	10.0	10.0	ENSG00000126947	0.6475844728435834	0.061310055310028456	10.0	10.0	ENSG00000126947	0.5066677033198673	-0.04351910534687364	10.0	10.0	ENSG00000126947	0.4680527784323091	0.04188396752556367	0.67387	0.980912447781259	10.0	10.0	ENSG00000126947	0.7574232381039459	0.007066716775105342	10.0	10.0	ENSG00000126947	0.2459602006648176	0.03122707789223308	10.0	10.0	ENSG00000126947	0.2586281332844155	0.008469824078978833	1.0242799999999999	0.35756007066423035	10.0	10.0
